friday,hotelId,price
2017-02-03,537268,455
2017-02-03,21688,126
2017-02-03,28146,497
2017-02-03,18561,202
2017-02-03,8466215,202
2017-02-10,28146,407
2017-02-10,537268,455
2017-02-10,21688,127
2017-02-10,5169,280
2017-02-10,20098,682
